exp_id,word,word_understand,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
585,A,1,0,0,0,0.0,0.0,0,0,0
585,judge,1,1,3,927,927.0,185.4,927,3,1
585,in,1,1,1,245,245.0,122.5,-682,-2,0
585,the,1,0,0,0,0.0,0.0,-245,-1,-1
585,US,1,1,1,321,321.0,160.5,321,1,1
585,State,1,1,1,203,203.0,40.6,-118,0,0
585,of,1,1,1,208,208.0,104.0,5,0,0
585,Arizona,1,1,2,575,287.5,82.14285714285714,367,1,0
585,has,1,0,0,0,0.0,0.0,-575,-2,-1
585,ruled,1,1,1,332,332.0,66.4,332,1,1
585,that,1,1,1,375,375.0,93.75,43,0,0
585,a,1,0,0,0,0.0,0.0,-375,-1,-1
585,1901,1,0,0,0,0.0,0.0,0,0,0
585,ban,1,1,1,440,440.0,146.66666666666666,440,1,1
585,on,1,2,2,1252,1252.0,626.0,812,1,1
585,nearly,1,1,1,207,103.5,34.5,-1045,-1,-1
585,all,1,0,0,0,0.0,0.0,-207,-1,-1
585,abortions,0,1,3,1336,668.0,148.44444444444446,1336,3,1
585,can,1,0,0,0,0.0,0.0,-1336,-3,-1
585,now,1,1,2,591,591.0,197.0,591,2,1
585,be,1,2,4,1215,1215.0,607.5,624,2,1
585,reintroduced,1,2,2,1160,386.6666666666667,96.66666666666667,-55,-2,0
585,Only,1,1,4,1508,754.0,377.0,348,2,-1
585,terminations,1,0,0,0,0.0,0.0,-1508,-4,-1
585,to,1,0,0,0,0.0,0.0,0,0,0
585,save,1,0,0,0,0.0,0.0,0,0,0
585,the,1,1,1,578,578.0,192.66666666666666,578,1,1
585,mother's,1,1,2,664,332.0,83.0,86,1,0
585,life,1,1,1,283,283.0,70.75,-381,-1,0
585,will,1,0,0,0,0.0,0.0,-283,-1,-1
585,be,1,0,0,0,0.0,0.0,0,0,0
585,permitted,1,1,2,1064,354.6666666666667,118.22222222222223,1064,2,1
585,The,1,0,0,0,0.0,0.0,-1064,-2,-1
585,Republican,1,1,2,977,244.25,97.7,977,2,1
585,attorney,0,2,3,1322,440.6666666666667,165.25,345,1,1
585,general,1,2,3,877,292.3333333333333,125.28571428571429,-445,0,0
585,of,1,3,3,1338,1338.0,669.0,461,0,1
585,Arizona,1,1,1,342,171.0,48.857142857142854,-996,-2,-2
585,said,1,1,1,206,206.0,51.5,-136,0,0
585,he,1,0,0,0,0.0,0.0,-206,-1,-1
585,applauded,1,1,3,831,277.0,92.33333333333333,831,3,1
585,the,1,1,1,304,304.0,101.33333333333333,-527,-2,0
585,court's,1,1,1,447,447.0,63.857142857142854,143,0,0
585,decision,1,1,4,1283,427.6666666666667,160.375,836,3,0
585,It,1,0,0,0,0.0,0.0,-1283,-4,-1
585,was,1,0,0,0,0.0,0.0,0,0,0
585,made,1,2,2,416,416.0,104.0,416,2,2
585,possible,1,2,3,753,251.0,94.125,337,1,0
585,by,1,1,1,237,237.0,118.5,-516,-2,-1
585,the,1,3,3,1158,1158.0,386.0,921,2,2
585,Supreme,1,1,2,798,798.0,114.0,-360,-1,-2
585,Court,1,0,0,0,0.0,0.0,-798,-2,-1
585,in,1,0,0,0,0.0,0.0,0,0,0
585,Washington,1,1,3,1140,380.0,114.0,1140,3,1
585,overturning,0,1,3,1050,350.0,95.45454545454545,-90,0,0
585,the,1,0,0,0,0.0,0.0,-1050,-3,-1
585,1973,1,0,0,0,0.0,0.0,0,0,0
585,Roe,1,1,1,279,279.0,93.0,279,1,1
585,v,1,0,0,0,0.0,0.0,-279,-1,-1
585,Wade,1,1,1,404,404.0,101.0,404,1,1
585,ruling,1,1,2,675,337.5,112.5,271,1,0
585,which,1,1,3,896,896.0,179.2,221,1,0
585,granted,1,1,2,1224,612.0,174.85714285714286,328,-1,0
585,the,1,0,0,0,0.0,0.0,-1224,-2,-1
585,right,1,1,1,250,250.0,50.0,250,1,1
585,for,1,0,0,0,0.0,0.0,-250,-1,-1
585,all,1,0,0,0,0.0,0.0,0,0,0
585,women,1,1,2,574,287.0,114.8,574,2,1
585,in,1,0,0,0,0.0,0.0,-574,-2,-1
585,the,1,1,1,262,262.0,87.33333333333333,262,1,1
585,United,1,1,1,219,109.5,36.5,-43,0,0
585,States,1,0,0,0,0.0,0.0,-219,-1,-1
585,to,1,0,0,0,0.0,0.0,0,0,0
585,have,1,1,1,317,317.0,79.25,317,1,1
585,access,1,1,1,398,199.0,66.33333333333333,81,0,0
585,to,1,1,1,208,208.0,104.0,-190,0,0
585,abortion,1,1,1,370,185.0,46.25,162,0,0
585,A,1,0,0,0,0.0,0.0,-370,-1,-1
585,Colombian,1,0,0,0,0.0,0.0,0,0,0
585,dissident,1,1,2,827,275.6666666666667,91.88888888888889,827,2,1
585,group,1,2,2,723,723.0,144.6,-104,0,1
585,which,1,0,0,0,0.0,0.0,-723,-2,-2
585,rejected,1,1,2,587,195.66666666666666,73.375,587,2,1
585,the,1,0,0,0,0.0,0.0,-587,-2,-1
585,2016,1,1,2,592,592.0,148.0,592,2,1
585,peace,1,1,1,311,311.0,62.2,-281,-1,0
585,deal,1,0,0,0,0.0,0.0,-311,-1,-1
585,with,1,1,1,347,347.0,86.75,347,1,1
585,the,1,1,1,225,225.0,75.0,-122,0,0
585,country's,1,1,3,1522,761.0,169.11111111111111,1297,2,0
585,largest,1,1,1,201,201.0,28.714285714285715,-1321,-2,0
585,guerrilla,0,2,2,783,261.0,87.0,582,1,1
585,movement,1,0,0,0,0.0,0.0,-783,-2,-2
585,the,1,0,0,0,0.0,0.0,0,0,0
585,FARC,1,1,1,698,698.0,174.5,698,1,1
585,has,1,1,1,232,232.0,77.33333333333333,-466,0,0
585,said,1,2,3,693,693.0,173.25,461,2,1
585,it,1,0,0,0,0.0,0.0,-693,-3,-2
585,is,1,1,1,243,243.0,121.5,243,1,1
585,prepared,1,1,1,200,100.0,25.0,-43,0,0
585,to,1,0,0,0,0.0,0.0,-200,-1,-1
