exp_id,article_id,time,page_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
1181,22,0,2015,qxy,9,route,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,9,consider,1,1,1,1,1,481,160.33333333333334,60.125,481,1,1
1181,22,0,2015,qxy,9,that,1,1,1,0,0,0,0.0,0.0,-481,-1,-1
1181,22,0,2015,qxy,9,this,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,9,may,1,1,1,1,1,230,230.0,76.66666666666667,230,1,1
1181,22,0,2015,qxy,9,well,1,1,1,0,0,0,0.0,0.0,-230,-1,-1
1181,22,0,2015,qxy,9,be,1,1,1,1,1,246,246.0,123.0,246,1,1
1181,22,0,2015,qxy,9,the,1,1,1,1,1,280,280.0,93.33333333333333,34,0,0
1181,22,0,2015,qxy,9,first,1,1,1,0,0,0,0.0,0.0,-280,-1,-1
1181,22,0,2015,qxy,9,of,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,9,many,1,1,1,1,1,200,200.0,50.0,200,1,1
1181,22,0,2015,qxy,10,In,1,1,0,1,1,205,205.0,102.5,5,0,0
1181,22,0,2015,qxy,10,this,1,1,0,0,0,0,0.0,0.0,-205,-1,-1
1181,22,0,2015,qxy,10,age,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,10,of,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,10,generalists,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,10,it,1,1,0,1,1,202,202.0,101.0,202,1,1
1181,22,0,2015,qxy,10,pays,1,1,0,1,1,330,330.0,82.5,128,0,0
1181,22,0,2015,qxy,10,to,1,1,0,0,0,0,0.0,0.0,-330,-1,-1
1181,22,0,2015,qxy,10,have,1,1,0,1,1,214,214.0,53.5,214,1,1
1181,22,0,2015,qxy,10,specific,1,1,0,1,1,215,71.66666666666667,26.875,1,0,0
1181,22,0,2015,qxy,10,knowledge,1,1,0,1,2,775,387.5,86.11111111111111,560,1,0
1181,22,0,2015,qxy,10,or,1,1,0,0,0,0,0.0,0.0,-775,-2,-1
1181,22,0,2015,qxy,10,skills,1,1,0,1,1,210,210.0,35.0,210,1,1
1181,22,0,2015,qxy,11,Postgraduates,1,1,0,1,2,438,109.5,33.69230769230769,228,1,0
1181,22,0,2015,qxy,11,now,1,1,0,1,1,217,217.0,72.33333333333333,-221,-1,0
1181,22,0,2015,qxy,11,earn,1,1,0,0,0,0,0.0,0.0,-217,-1,-1
1181,22,0,2015,qxy,11,40,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,11,per,1,1,0,1,2,501,501.0,167.0,501,2,1
1181,22,0,2015,qxy,11,cent,1,1,0,0,0,0,0.0,0.0,-501,-2,-1
1181,22,0,2015,qxy,11,more,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,11,than,1,1,0,0,0,0,0.0,0.0,0,0,0
1181,22,0,2015,qxy,11,graduates,1,1,0,1,2,505,168.33333333333334,56.111111111111114,505,2,1
1181,22,0,2015,qxy,12,When,1,1,1,1,1,372,372.0,93.0,-133,-1,0
1181,22,0,2015,qxy,12,more,1,1,1,1,2,596,596.0,149.0,224,1,0
1181,22,0,2015,qxy,12,and,1,1,1,0,0,0,0.0,0.0,-596,-2,-1
